filename,id_number,hyphenated_code,field1,field2,field3,field4,field5,field6
0001170,122048,3-DR-93,NICOTINELL TTS PH,PROMOTION,,| MAGAZIN 1/93,| D/92,| A283
000228,115225,1-QR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,DRUCKTEST,! AIC4,,
000834,121257,3-OR-92,HABITROL USA 1991,TTS NICOTIN,,F/HAEFLIGER,D/92,
0001852,114945,1-OR-90,PATIENT PH,FRAU ALT ROLLSTUHL PFLEGER,JEANSJACKE,,I AIBI,
0001109,110999,3-DR-90,LUDIOMIL PH,LUDIOMIL 75 TABLETTEN,DETAILING AID,P/13098,,A281
00016,115011,3-DR-90,SUJET PH,AIDS MANN,KOPF,,AIBI,
0001768,114941,1-OR-90,PATIENT PH,FRAU ALT ROLLSTUHL PFLEGER,JEANSJACKE,,,! AIBI
000390,115115,3-DU-90,SVP,PACKUNGEN SERVIDRAT,SERVIPROFEN SERVICILLIN,SERVAMOX SERVICOXYNE,SERVANOLOL,AID3
0001722,108539,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,,D/88,A1A7
000969,110926,2-DU-90,LOCADRTEN PH,HAND EKZEM,,,A2B1,
0001072,110968,3-OR-90,LUDIOMIL PH,MANN ARZT KITTEL WEISS,KIND SCHWARZ FENSTER,REGENTROPFEN,,A2B1
0001741,108545,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,,D/88,A1A7
0001176,121360,3-OR-92,NICOTINELL PH,TTS 30 SPANISCH,,D/92,A283,
000803,110731,3-DR-90,GLY-CORAMIN PH CH OTC,,PACKUNGEN,A2A7,,3-DR-90 110731
0001607,108425,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,DRAGEE,,D/88,A1A7
000987,111536,2-OR-90,RENGASIL PH,FRAU ALI SCHMERZ KNIE,WOHNZIMMER KRANKENSCHWESTER,,,A2C1
000256,115204,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,MITARBEITER ANALYSE,,A1C4,
000864,110771,3-DU-90,HEMERAN PH CH DTC,EMULGEL SALES FOLDER 89,,D/89,A2A8,
000572,110551,3-OR-90,BRADDORAL PH,SAUDI ARABIEN 89,DOKUMENTATION,! S/BUEHLER,! D/BY,! A2A2
0001325,111266,3-DR-90,OTRINOL PH,OTRINOL BLISTER,,P/31185,A2B4,
0001037,110945,2-OR-90,LOPRESOR PH,MANN HARASSE STRESS,KELLERTREPPE,,A2B1,
000416,115127,3-DU-90,SVP,SERVIPROFEN SERVIMETA,SERVIGESIC 25 200 400 500,,,A103
0001404,111881,3-OR-90,DTRIVIN PH,DOSING SPRAY SAUDI ARABIEN,ARABISCH ENGLISCH PACKUNGEN,P/42108,D/90,A2B4
0001019,117329,3-OR-90,LORROTON PH,EINFUEHRUNGSPROSPEKT 93,TABLETTE,P/14447,A281,
000159,106994,2-OR-88,PH PRODUKTION,WSH-2112,MITARBEITER,F/MACK,D/88,A1C3
0001421,117373,3-OR-90,OTRIVIN PH CH OTC,,MAILING 90,P/34508,,A2B4
000370,115100,1-QR-90,SVP,ETIKETTIERUNG MASCHINE,PRODUKTION,,A1D2,
00081,108680,2-OR-89,PH-PRODUKTION K-640,ENERGIE-DAMPFVERTEILER,,E/HAEFLIGER,D/B,AIC1
000463,116625,3-DU-90,SVP,SERVIZOL 200 250 PACKUNG,FRANZOESISCH,S/VILLIGER P/32805,D/90,AID3
000859,111813,3-OR-90,HEMERAN PH CH OTC,INSERAT,PUBLIKATION,| P/34337,| D/90,| A2AB
0001107,110998,3-OR-90,LUDIOMIL PH,TABLETTEN BRAUN GELB ROSA,WEISS 10 25 50 75 MG,,A2B1,
000438,115139,3-OR-90,SVP,DARREICHUNGSFORM KAPSELN,SERVICILLIN 250,A1D3,,
0001364,111272,3-OR-90,OTRIVIN PH,SAUDI ARABIEN DOKUMENTATION,,S/BUEHLER,D/89,A284
0001148,111044,3-OR-90,MODULAN PH,KNETMASSE LEPRA GRIP-AID,,P/50815,D/88,A2B2
00091,108686,2-OR-89,PM PRODUKTION K-640,STAHLKONSTRUKTION PI AD KU,SHED-DACK,F/HAEFLIGER,D/87,AICI
000659,112255,2-OR-90,ESTRADERM PH,SAUDI ARABIEN FRAU LACHEN,BLUMENSTRAUSS KLEID GRAU,P/42128,D/90,A2A5
0001310,111259,3-OR-90,NUPERCAINAL PH CH OTC,PACKUNG 89 NUPERCAINAL 1%,,D/89,A2B3,
0001987,114985,2-OR-90,ARZT. PATIENT + SUJET PH,KRANKENSCHWESTER SPITAL,BETT FRAU BLUTDRUCKMESSER,!,!,! AIB1
000569,110548,3-OR-90,BRADORAL SPRAY PH,DOKUMENTATION ISRAEL,,D/89,A2A2,
0001974,115321,2-DR-90,ARZT. PATIENT + SUJET PH,MANN BLUTDRUCKMESSER,KRANKENSCHWESTER,,A1B1,
000771,110696,3-DR-90,FORTISAN PH,SAUDI ARABIEN,ZITRONE,! Q/NOF,! D/87,! A2A6
000995,11155B,2-DR-90,RENGASIL PH,KAPSEL 200 GRUEN GELB HAND,,,A2C1,
0001930,116663,2-OR-90,ARZT PATIENTIN,ASIATE ASIATIN,REZEPT SCHREIBEN,,A181,
000356,115073,1-OR-90,SVP,PRODUKTION VERPACKUNG,MASCHINE,,,A1D2
000708,110668,3-DR-90,ESTRADERM TTS PH,ESTRADERM 25 PACKUNGEN,PFLASTER INFOHEFT,,A2A5,
000869,110756,3-DR-90,HEMERAN PH CH OTC,VK-STELLER DEUTSCH 89,EMULGEL,D/89,A2A8,
000506,110506,3-DR-90,ANAFRANIL PH,TABLETTE CG,VISUAL AID,D/88,,A2A1
0001403,111880,3-OR-90,OTRIVIN PH,DOSING SPRAY SAUDI ARABIEN,ENGLISCH PACKUNGEN,P/42108,D/90,A284
000485,110491,2-0R-90,AMBILHAR PH,SCHNECKE,,,A2A1,
0001,115034,2-DR-90,ARZT + PATIENT PH,ARZT PATIENTIN MUTTER,TOCHTER SCHWARZ PRAXIS,A1B1,,
000575,110554,3-QR-90,BRADDORAL PH,AD,SAUDI ARABIEN,P/32583 SARE(789),D/87 DETAILING AID,A2AZ
0001551,108386,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
000445,115129,3-DU-90,SVP,PACKUNGEN HERZ KREISLAUF,SERVIDOPA SERVANOLOL 80 250,,A1D3,
000167,106999,2-DR-88,PH PRODUKTION,WSH-2112,,! F/MACK,! D/88,! A1C3
000170,107029,2-DR-88,PH PRODUKTION,WSH-2112,ROEHREN,F/MACK,D/88,A1C3
000878,111607,3-OR-90,HEMERAN EMULGEL PH CH OTC,SCHAUFENSTER,,P/34114,D/89 S/SCHEIDEGGER,A2A8
0001448,111377,3-DR-90,OTRIVIN OTRINOL PH CH OTC,DOKUMENTATION MAILING,SCHNEEKUGEL,,A2B4,
0001808,114949,1-OR-90,PATIENT PH,FRAU ALT ROLLSTUHL PFLEGER,JEANSJACKE PARK BANK,,A1B1,
00084,108810,2-OR-89,PH PRODUKTION K-640,,,F/HAEFLIGER,D/87,A1C1
000631,114806,2-OR-90,DESFERAL PH,POSTER KIND THALASSAEMIA,,P/32802,D/90,AZA4
0001733,108555,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,MITARBEITERIN,D/8B,A1A7
000903,111808,3-DU-90,HEMERVEN PH CH OTC,SCHAUFENSTER 90,,P/34336,D/90,A2A8
0001921,114968,2-OR-90,MANN ALT SPITAL BETT,KRANKENSCHWESTER SPRITZE,ARZT PATIENT SUJET PH,,A181,
0001460,111410,2-OR-90,PRELLORAN PH,MANN HANTELN,SPORT,,A2B5,
000759,110688,3-OR-90,FORADIL PH,LONGENFLUEGEL,,Q/NOF,P/23001,A2A6
0001446,111379,3-OR-90,OTRIVIN DTRINOL PH CH OTC,PACKUNGEN FRANZOESISCH,,,A2B4,
0001326,111267,3-OR-90,OTRINOL PH,SELF MEDICATION SAUDI,ARABIEN DOKUMENTATION,I,D/87 88,A284
0001226,111862,3-OR-90,NITRODERM TTS PH,PACKUNGEN PFLASTER,TTS 5 TTS 10 ARABISCH,D/90,A2B3,
000374,115090,1-OR-90,SVP,PRODUKTION VERSAND,MITARBEITER STAPLER,,A102,
0001679,108520,2-DR-89,PH FORSCHUNG,PHARMAEUTISCHE ENTWICKLUNG,UEBRIGE DARREICHUNGSFORMEN,! D/88,! A1A7,
0001604,111507,2-06-90,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,DRAGEE,FESTE DARREICHUNGSFORMEN,D/88 P/32787,A1A7
000440,115112,3-OR-90,SVP,BRAUSETABLETTE WASSER GLAS,,,A1D3,
0001917,114894,2-DR-90,PATIENT PH,MANN SCHWARZ PORTRAIT,TASCHENTUCH NIESEN,,AIB1,
000162,106992,2-DR-88,PH PRODUKTION,WSH-2112,MITARBEITER,F/MACK,D/88,AICS
000444,115129,3-OR-90,SVP,PACKUNGEN HERZ KREISLAUF,SERVIDOPA SERVANOLOL 80 250,,,A103
000172,115234,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,KAPSELN,,AIC4,
0001422,117374,3-OR-90,OTRIVIN PH CH OTC,MAILING 90,,P/34508,A2B4,
000866,113095,3-DR-90,HEMERVEN PH CH OTC,SCHAUFENSTER 90,,P/34338,D/90,A2AB
000405,115122,3-0R-90,BVP,SERVITROCIN 500 AMPULLEN,SERVISTREM 1000 250,SERVISPOR KAPSELN,A103,
000950,110914,2-OR-90,LIORESAL PH,FRAU ROLLSTUHL SCHMINKEN,SPIEGEL,,AZBI,
000942,110907,3-DR-90,LAMPREN PH,PACKUNGEN LAMPRENE 50 100,RIMACTANE 150 300,RIMACTAZIID 150 PZA-CIBA 500,A2B1,
0001765,108563,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,: MITARBEITERIN,: D/88,: A1A7
0001923,114875,2-OR-90,PATIENT PH,EHEPAAR TOECHTER ASIATEN,LACHEN,,AI81,
000683,110666,3-DR-90,ESTRADERM TTS PH,ESTRADERM 50 PACKUNGEN,PFLASTER,A2A5,,
000182,115174,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,MITARBEITERIN,,A1C4,
0001495,108348,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/88,AIA7,
0001236,111122,3-DR-90,NITRODERM TTS PH,STATUE PFLASTER HAND POSTER,FINGERNAEGEL ROT,,A2B3,
0001188,11109Z,2-OR-90,NICOTINELL TTS PH,MANN ZIGARETTE RAUCHEN,PORTRAIT,P/32789,D/89,A283
000189,115232,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,KAPSELN,A1C4,,
000486,110492,3-OR-90,AMBILHAR PH,,SCHISTOSOMA PAERCHENEGEL,,,A2A1
0001258,111151,2-DR-90,NITRODERM TTS PH,PFLASTER HAENDE AUFREISEN,PACKUNG,,A2B3,
0001530,108350,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,,D/88,A1A7
0001116,111006,3-DR-90,LUDIOMIL PH,PACKUNGEN SIROUP,TUNESIEN,! D/88,,! A2B1
000929,118759,1-OR-91,LAMPEN PH,LEPRA PATIENT SCHWARZ,PORTRAIT MANN,P/43002,A281,
000424,115103,1-OR-90,SVP,PRODUKTION DARREICHUNGSFORM,KAPSELN WEICHGELATINE,A1D3,,
0001829,114982,2-OR-90,ARZT. PATIENT + SUJET PH,ARM BLUTDRUCKMESSER,KRANKENSCHWESTER,,A1B1,
0001647,108466,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,STERILE DARREICHUNGSFORMEN,MITARBEITER,D788,A1A7
0001559,108404,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,,D/88,A1A7
0001883,117942,2-OR-91,PATIENT PH,MANN ZAHN SCHMERZ,ZAHNSCHMERZEN,,A1B1,
0001259,111152,2-OR-90,NITRODERM TTS PH,PFLASTER HAENDE AUFREISEN,PACKUNG,,A283,
0001227,121799,3-DR-92,NITRODERM TTS PH,TENNIS MANN,,,I AZB3,
0001757,108552,2-QR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,! MITARBEITERIN,! D/88,! A1A7
000469,116674,2-DR-90,SVP PACKUNGEN,APOTHEKE APOTHEKERIN,FRAU,,A1B3,
0001395,111372,3-DR-90,QTRIVIN PH,SAUDI ARABIEN 89,DOKUMENTATION,S/BUEHLER,D/89,AZB4
0001795,114916,2-DR-90,PATIENT PH,MANN BAUCH SCHMERZ,,,A1B1,
0001451,116621,3-DR-90,OTRIVIN PH CH OTC,SCHAUFENSTER,,| S/TARGA P/34480,| D/90 91,A2B4
000589,121800,3-OR-92,CIBACEN FH,PACKING BLISTER 10,,D/91,AZA3,
000488,110493,2-DR-90,AMBILHAR PH,SCHISTOSOMA,,,AZAI,
0001410,119802,3-OR-91,OTRIVIN PH CH OTC,PACKUNGEN NASENTROPFEN,DOSIERSPRAY NEBILISATOR,BEL,D/91,A2B4
000793,110717,3-OR-90,FORTISAN PH,PACKUNGEN DOSE GOLD,ENGLISCH REFRESHING DRINK,! P/31274,! D/87,! A2A6
0001265,111106,2-OR-90,NITRODERM TTS PH,MANN OBERKOERPER NACKT,PFLASTER,,D/83,A2R3
000660,117438,2-OR-90,ESTRADERM PH,SAUDI ARABIEN FRAU LACHEN,BLUMENSTRASS KLEID GRAU,D/90,A2A5,
000498,110502,2-DR-90,ANAFRANIL PH,,KIND SPIELT PUPPE,,AZAI,
000382,115096,1-OR-90,SVP,PRODUKTION LAGER PALETTEN,MITARBEITER STAPLER,,A1D2,
0001825,114902,Z-DR-90,PATIENT PH,FRAUEN SPAZIEREN BANK,SITZEN FRAU ALT,,A1B1,
000884,110763,3-DR-90,HEMERAN PH CH OTC,SCHAUFENSTER,,I,I A2AB,I 3-DR-90 110763
0001526,108354,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,,D/88,A1A7
00090,108683,2-OR-89,PH PRODUKTION K-640,CONTAINER PALETTENLAGER,FESTSTOFFCONTAINER,F/HAEFLIGER,D/B7,AICI
0001749,108564,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,NEUARTIGE DARREICHUNGSFORME,! MITARBEITERIN,! D/88,! A1A7
00024,111790,3-QR-90,PH MEDIZIN REGISTRIERUNG,ORDNER,ACE-HENNER 94 ORDNER,INFORMATION PATIENT AERZTE,D/89 P/32787,A183
000814,110738,3-OR-90,GLY-CORAMIN PH CH OTC,DOKUMENTATION,,,A2A7,
000742,110690,3-OR-90,EURAX PH,SELF MEDICATION SAUDI,ARABIEN DOKUMENTATION,D/87,A2A5,
0001035,110957,2-DR-90,LOPRESOR PH,MANN HUSTEN HEMD PULLOVER,,P/42225,D/80,A2B1
000120,107040,Z-OR-88,PH PRODUKTION WSH-2112,SCHALTWARTE COMPUTER,MONITOR MITARBEITER,F/MACK,D/88,A1C3.
000408,115118,3-DU-90,SVP,SERVANOLOL SERVIPROFEN,SERVIORAT SERVICILLIN,SERVAMOX,A1D3,
0001378,111288,3-DR-90,DTRIVIN PH,PACKUNGEN,ZAHLTELLER,,A2B4,
000479,110486,Z-DR-90,AMBILHAR PH,SCHISTOSOMIASIS SCHWARZE,KINDER SPIELEN WASSER,F/STRIEBEL MADAGASKAR,P/JOURNAL 1/1972,AZAI
0001113,111003,3-GR-90,LUDIOMIL PH,PACKUNGEN LUDIOMIL 25,30 TABLETTEN,,AZ81,
000657,110645,2-OR-90,ESTRADERM TTS PH,FRAU TOEPFERN SCHUERZE,,,A2A5,
000231,115222,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,LOESLICHKEITSTEST,,A1C4,
000227,115224,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,DRUCKTEST,,AIC4,
0001277,111142,2-OR-90,NITRODERM TTS PH,PFLASTER MESSBAND,,,D781,A2B3
0001356,111280,2-DR-90,DTRIVIN PH,MANN TASCHENTUCH KARIERT,PORTRAIT,,A2B4,
000867,110758,3-OR-90,HEMERVEN PH CH DTC,PACKUNGEN,KAPSELN 30 60,,D/BB,AZAB
000369,115086,1-DR-90,SVP,PRODUKTION ETIKETTIERUNG,MASCHINE,,,A1D2
0001815,119356,2-DR-91,PATIENT PH,FRAU HUSTEN,,,D/91,A1B1
000897,111809,3-OR-90,HEMERVEN PH CH OTC,SCHAUFENSTER 90,,P/3433B,D/90,A2AB
000956,113102,3-OR-90,LOCACORTEN PH,SAUDI ARABIA COMFORT,TRAINER PINK BLAU WEISS,! P/32953,! D/90,! A2B1
000945,110910,3-OR-90,LIDAPRIM PH,PACKUNGEN 100 ML SIROUP,FLASCHE LOEFFEL,P/12179,A281,
0001566,108412,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/88,A1A7,
000432,117426,3-OR-90,SVP,KAPSELN ROT BRAUN GELB,WEISS BLAU GRUEN CNC,,,A1D3
0001854,114942,1-DR-90,PATIENT PH,FRAU ALT ROLLSTUHL PFLEGER,JEANSJACKE,,,AIBI
0001650,110215,2-DU-92,PHARMAZEUTISCHE ENTWICKLUNG,VON STERILEN DARREICHUNGS-,"FORMEN, STERILRAUM TEILAN-",SICHT,COPYRIGHT CIBA-GEIGY,A1A7
000538,110539,2-DU-90,BRADORAL PH,PATIENT GESICHT MANN HALS,SCHMERZ,D/87 DETAILING AID,A2A2,
000353,115076,1-OR-90,SVP,PRODUKTION VERPACKUNG,MASCHINE,A1D2,,1-OR-90 115076
000505,110505,3-DR-90,ANAFRANIL PH,,DRAGEES,!,A2A1,
0001629,108376,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,TABLETTEN,D/88,A1A7
0008,115019,2-OR-90,ARZT + PATIENT PH,FRAU ALT SPITAL BETT,KRANKENSCHWESTER BEGRUESSEN,,,: A1B1
0001287,111243,3-OR-90,NITRODERM TTS PH,PFLASTER,,,AZB3,
00027,119451,2-OR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,A1C1
000283,115162,1-OR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,,,A1C4,
0001838,114984,2-OR-90,ARZT. PATIENT + SUJET PH,ARM BLUTDRUCKMESSER,KRANKENSCHWESTER,,AIBI,
0001927,121272,2-OR-92,MAGAZIN 2/92 S.17,AERZTIN PATIENTIN,SPRECHSTUNDE,! P/43142,! D/92,! AIB1
0001670,110870,Z-DR-90,PH FORSCHUNG,PHARMAZEITISCHE ENTWICKLUNG,STERILE DARREICHUNGSFORMEN,AMPULLEN D/A,D/89,AIA7
0001401,119335,3-DR-91,OTRIVIN PH,DUBAI 91 GAMME SAUDI,ARABIEN,0/91,AZRA,
000527,117411,3-OR-90,AREDIA PH,PACKUNGEN AMPULLEN ENGLISCH,15 MG 5 ML,D/90,A2A1,
000135,107025,2-OR-88,PH PRODUKTION,WSH-2112,ROEHRN,F/MACK,D/88,A1C3
000613,110606,3-DR-90,CIBALGIN GAMME PH CH DTC,PACKUNGEN TABLETTEN,,,D/89,A2A3
0001951,114871,1-OR-90,PATIENT PH,JØRGEN FAMILIE WALDRAND,,,A1B1,
000280,115197,1-QR-90,PH PRODUKTION,WST QUALITATSKONTROLLE,ROHSTOFFE,,A1C4,
000443,115130,3-DR-90,SVP,PACKUNGEN HERZ KREISLAUF,SERVIDOPA SERVANOLOL 80 250,!,40,A1D3
000191,115235,1-DR-90,PH PRODUKTION,WST QUALITAETSKONTROLLE,KAPSELN,,AIC4,
0001074,110992,3-OR-90,LUDIONIL PH,PORTRAIT FRAU KLAR FENSTER,AUGEN ANGESPANNT,REGENTROPFEN,,A2B1
000865,113094,3-DR-90,HEMERAN PH CH DTC,SCHAUFENSTER,,P/34336,D/90,A2A8
000518,110534,3-DR-90,ANDURSIL PH CH OTC,PACKUNG KAUTABLETTEN,LOESUNG,D/B9 PH CH OTC,A2A!,
000493,110497,2-OR-90,ANAFRANIL PH,SCHWARZE FRAU BATIK KLEID,NACHDENKLICH AFRIKA,,AZA1,
000712,110651,3-DR-90,ESTRADERM TTS PH,DOKUMENTATION CARE,PROMOTION,P/15632,A2A5,
000847,110772,3-DR-90,HEMERAN PH CH OTC,PACKUNGEN CREME KAPSELN,HEMERVEN,D/88,A2A8,
0005,115022,2-OR-90,ARZT + PATIENT PH,FRAU ALT SPITAL BETT,KRANKENSCHWESTER BEGRUESSEN,,,A1B1
000610,110603,3-QU-90,CIBALGIN PH,SELF MEDICATION SAUDI,ARABIEN DOKUMENTATION,,D/87 88,AZA3
000930,110898,I-DR-90,LAMPREN PH,PORTRAIT,LEPRA MANN SCHWARZ,91,A2B1,
0001018,117332,3-0R-90,LDGROTON PH,TABLETTE,DARREICHUNGSFORM,,,AZ81
0001874,118577,2-QR-91,PATIENT PH,MANN TREPPE FUSS VERTRETEN,SCHMERZ,,A1B1,
0001197,111095,-DR-90,NICOTINELL ITS PH,MANN ZIGARETTE RAUCHEN,PORTRAIT,P/32739,D/89,A2B3
0001466,111866,2-DR-90,PRELLORAN PH,HINTERGRUND GRUEN BLAU,,,D/90,A2B5
000734,110676,3-OR-90,EURAX PHI,ISRAEL PACKUNG TUBE,DETAILING AID 1988,P/32597,A2A5,
00030,119443,2-DR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,
0001514,108423,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,D/88,A1A7,
00036,119440,2-OR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,AIC1
000362,115070,1-DR-90,BVP,PRODUKTION VERPACKUNG,FLASCHEN,,A1D2,1-DR-90 115070
000728,119852,3-OR-91,EURAX PH,TUBE CREME PACKUNG,ALGERIEN PRODUKTION F,S/VILLIGER,D/90,A2A5
0001532,108392,2-OR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,MITARBEITER,D/88,A1A7
0001012,113101,3-DR-90,LOCASALEN PH,PACKUNGEN SALBE TUBEN 15g,,,A2B1,
000439,115117,3-OR-90,SVP,SERVIDRAT BLISTER SAUDI,ARABIEN BEUTEL,,A1D3,
0001308,111257,3-OR-90,NUPERCAINAL PH,SAUDI ARABIEN TUBE PACKUNG,,,D/88,A2B3
000661,110633,7-DR-90,ESTRADERM TTS PH,FRAU REISEN KOFFER BLAU,JUPE ZEITSCHRIFT,,A2A5,
00014,115012,3-OR-90,SUJET PH,ERGON SUTRAMED SUTURES,,,A1B1,
000919,110782,2-OR-90,INSIDON PH,MANN SCHWARZ SCHMERZ BETT,KOPF HAND,,A2A9,
000979,119845,3-OR-91,LOCACORTEN,FRANZOESISCH,CREME TUBE,VIOFORM PH ! D/90,! S/VILLIGER,! A281
000784,110708,3-DR-90,FORTISAN PH,PACKUNGEN DOSE BLAU DRINK,SAUDI ARABIEN,! P/31274,! D/87,! A2A6
000773,118407,3-DR-91,FORTISAN PH,SAUDI ARABIEN ZITRONE,,! Q/MOF,! D/87,! A2A6
0001108,119849,3-DR-91,LUDIOMIL 25-75 PH,TABLETTEN PACKUNGEN BLISTER,ALGERIEN PRODUKTION F,S/VILLIGER,D/90,A281
0001068,119847,3-OR-91,LOPRESSOR 200 PH,TABLETTEN PACKUNG BLISTER,ALGERIEN PRODUKTION F,S/VILLIGER,D/90,A281
000977,117301,3-OR-90,LOCACORTEN PH,PACKUNGEN CREME POMMADE,TUBE 15G LOCASALEN,,AZB1,
000946,110911,3-DR-90,LIDAPRIN PH,PACKUNGEN SIROUP KINDER,ERWACHSENE FORTE FLASCHE,LOEFFEL,A2B1,
0006,115021,2-OR-90,ARZT + PATIENT PH,FRAU ALT SPITAL BETT,KRANKENSCHWESTER BEGRUESSEN,,,AIBI
000384,115087,1-OR-90,SVP,PRODUKTION ETIKETTIERUNG,MASCHINE,,A10Z,
0001663,110892,2-OR-90,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,STERILE DARREICHUNGSFORMEN,AMPULLEN,D/88,A1A7
0001848,114950,1-DR-90,PATIENT PH,FRAU ALT ROLLSTUHL PFLEGER,JEANSJACKE PORTRAIT,,A1B1,
0001426,116623,3-DU-90,OTRIVIN PH CH OTC,VERKAUFSSTELLER,,S/TARGA P/34476,D/90 91,A2B4
0001124,111031,3-DR-90,PB-COMBI PH,PACKUNG BLISTER,,S/VILLIGER,D/89,A2B2
000124,107041,2-QR-88,PH PRODUKTION WSH-2112,SCHALTWARTE COMPUTER,MONITOR MITARBEITER,! F/MACK,! D/88,! A1C3
0001887,117944,2-OR-91,PATIENT PH,ANN ZAHN SCHMERZ,AHNSCHMERZEN,,A1B1,
0001568,108346,2-DR-89,PH FORSCHUNG,PHARMAZEUTISCHE ENTWICKLUNG,FESTE DARREICHUNGSFORMEN,,D/88,A1A7
000908,110757,3-DU-90,HEMERAN PH CH OTC,GAMME 89,,D/89,AZAB,
000163,107004,2-DR-88,PH PRODUKTION,WSH-2112,ROEHREN,F/MACK,D/88,AIC3
000989,111534,2-OR-90,RENGASIL PH,MANN WALD,SPAZIEREN,,A2C1,
0001244,117325,2-OR-90,NITRODERM TTS PH,OBERKOERPER MANN PFLASTER,,,A2B3,
0001174,122066,3-OR-93,NICOTINELL TTS PH,PROMOTION,,MAGAZIN 1/93 5.27,D/92,
000544,110541,2-OR-90,BRADORAL PH,PATIENT MANN PROFIL HAND,TABLETTE EINNEHMEN MUND,P/32583 SARE (78B),D/87 DETAILING AID,A2A2
000541,110538,2-DR-90,BRADORAL PH SAUDI ARABIEN,POSTKARTE SAHARA TOURIST,KAMERA MANN,P/32931,D/89,A2A2
000512,110529,2-OR-90,ANDURSIL PH,MOERSER KORALLE PULVER,,D/79,A2A1,
0001330,111269,3-OR-90,OTRINOL PH,SELF MEDICATION SAUDI,ARABIEN DOKUMENTATION,D/87 88,A2B4,
000267,115209,1-OR-90,PH PRODUKTION,MST QUALITAETSKONTROLLE,MITARBEITER ANALYSE KAPSELN,,,A1C4
0001080,110972,3-OR-90,LUDIOMIL PH,FARBSTIFT,REGENBOGEN,Q/NOF,A2B1,
000105,110262,2-OR-90,PH PRODUKTION,WSH-2112,,F/HILTBRAND,D/89,A1C3
0001111,111001,3-OR-90,LUDIOMIL PH,PACKUNGEN,LUDIOMIL 75 TABLETTEN 20,,A2B1,
000558,117599,3-OR-91,BRADORAL PH,PACKUNGEN 0.5 AEGYPTEN,ENGLISCH 20 PASTILLEN,P/42218,D/91,A2A2
0001414,121100,3-08-92,OTRIVIN PH CH OTC,PACKUNGEN,INTERNEGATIV,! F/ROTH,! D/92,! A284
0001823,111787,3-OR-90,PH MEDIZIN,PATIENTEN,MENSCH MENSCHEN,! Q/NOF P/32787 P/43012,! D/89,! AIB1
00031,119444,2-OR-91,PH PRODUKTION,K-376 K-377,,F/HERSBERGER,D/90,AICI
0001433,111386,3-OR-90,DTRIVIN OTRINOL PH CH OTC,,GAMME,D/89,A2B4,
00040,119453,2-DR-91,PH PRODUKTION,K-376 K-377,,! F/HERSBERGER,! D/90,! A1C1
